66R5, 100, 0.0020 Pana,ERJ-2RKF66R5X Avnet Express,ERJ-2RKF66R5X/BKN 
22p, 200, 0.0055 Murata,GRM1555C1H220JA01D Avnet Express,GRM1555C1H220JA01D/BKN 
Artix-7 A35, 100, 30.1154 Xilinx,XC7A35T-1FTG256C Avnet Express,XC7A35T-1FTG256C 
