Qty,Line Item,Manufacturer,MPN,Octopart URL,Schematic Reference,Internal Part Number,Description,Total Qty (@ Batch Size: 100),SKU,SKU,SKU,SKU,Packaging,Packaging,Packaging,Packaging,Unit Price (@ Batch Size: 100),Unit Price (@ Batch Size: 100),Unit Price (@ Batch Size: 100),Unit Price (@ Batch Size: 100),In Stock,In Stock,In Stock,In Stock,MOQ,MOQ,MOQ,MOQ,URL,URL,URL,URL,Distributor [null],SKU [null],Packaging [null],Unit Price (@ Batch Size: 100) [null],Line Total [null],Batch Total [null],In Stock [null],MOQ [null],URL [null],Notes
,,,,,,,,,Avnet Express,Digi-Key,Mouser,Newark,Avnet Express,Digi-Key,Mouser,Newark,Avnet Express,Digi-Key,Mouser,Newark,Avnet Express,Digi-Key,Mouser,Newark,Avnet Express,Digi-Key,Mouser,Newark,Avnet Express,Digi-Key,Mouser,Newark,,,,,,,,,
1,ERJ-2RKF10R0X,Panasonic,ERJ-2RKF10R0X,https://octopart.com/erj-2rkf10r0x-panasonic-1369523, 10R,,,100,ERJ-2RKF10R0X,P10.0LDKR-ND,ERJ-2RKF10R0X,90W2943,,Custom Reel,,Tape & Reel,,0.0149,0.008,0.003,310000,933396,389237,80000,10000,1,,1,https://octopart-clicks.com/click/track?country=NZ&ak=ec9249f5&sig=0119303&sid=5822&ppid=1369523&vpid=187897807&ct=offers,https://octopart-clicks.com/click/track?country=NZ&ak=ec9249f5&sig=00a5910&sid=459&ppid=1369523&vpid=188059299&ct=offers,https://octopart-clicks.com/click/track?country=NZ&ak=ec9249f5&sig=06b95b0&sid=2401&ppid=1369523&vpid=187838954&ct=offers,https://octopart-clicks.com/click/track?country=NZ&ak=ec9249f5&sig=04dd5c8&sid=2402&ppid=1369523&vpid=190851200&ct=offers,Newark,90W2943,Tape & Reel,0.003,0.003,0.3,80000,1,https://octopart-clicks.com/click/track?country=NZ&ak=ec9249f5&sig=04dd5c8&sid=2402&ppid=1369523&vpid=190851200&ct=offers,
1,ERJ-2RKF28R7X,Panasonic,ERJ-2RKF28R7X,https://octopart.com/erj-2rkf28r7x-panasonic-1180002, 28R7,,,100,ERJ-2RKF28R7X,P28.7LDKR-ND,ERJ-2RKF28R7X,90W3021,,Custom Reel,,,,0.0149,0.01,0.003,0,58019,45060,48910,60000,1,,1,https://octopart-clicks.com/click/track?country=NZ&ak=ec9249f5&sig=05d5285&sid=5822&ppid=1180002&vpid=196306622&ct=offers,https://octopart-clicks.com/click/track?country=NZ&ak=ec9249f5&sig=0db7cd6&sid=459&ppid=1180002&vpid=188059739&ct=offers,https://octopart-clicks.com/click/track?country=NZ&ak=ec9249f5&sig=0853cb2&sid=2401&ppid=1180002&vpid=194417988&ct=offers,https://octopart-clicks.com/click/track?country=NZ&ak=ec9249f5&sig=0811511&sid=2402&ppid=1180002&vpid=191369741&ct=offers,Newark,90W3021,,0.003,0.003,0.3,48910,1,https://octopart-clicks.com/click/track?country=NZ&ak=ec9249f5&sig=0811511&sid=2402&ppid=1180002&vpid=191369741&ct=offers,
1,ERJ-2RKF66R5X,Panasonic,ERJ-2RKF66R5X,https://octopart.com/erj-2rkf66r5x-panasonic-1220455, 66R5,,,100,ERJ-2RKF66R5X/BKN,P66.5LCT-ND,ERJ-2RKF66R5X,90W3071,,Cut Tape,,,0.002,0.0149,0.01,0.003,6860,59803,38930,47028,1,1,,1,https://octopart-clicks.com/click/track?country=NZ&ak=ec9249f5&sig=06b1cdd&sid=5822&ppid=1220455&vpid=196307108&ct=offers,https://octopart-clicks.com/click/track?country=NZ&ak=ec9249f5&sig=04528d6&sid=459&ppid=1220455&vpid=188060118&ct=offers,https://octopart-clicks.com/click/track?country=NZ&ak=ec9249f5&sig=0438004&sid=2401&ppid=1220455&vpid=189150641&ct=offers,https://octopart-clicks.com/click/track?country=NZ&ak=ec9249f5&sig=047bfa5&sid=2402&ppid=1220455&vpid=190851410&ct=offers,Avnet Express,ERJ-2RKF66R5X/BKN,,0.002,0.002,0.2,6860,1,https://octopart-clicks.com/click/track?country=NZ&ak=ec9249f5&sig=06b1cdd&sid=5822&ppid=1220455&vpid=196307108&ct=offers,
4,ERJ-2RKF1000X,Panasonic,ERJ-2RKF1000X,https://octopart.com/erj-2rkf1000x-panasonic-1253760, 100R,,,400,ERJ-2RKF1000X/BKN,P100LDKR-ND,ERJ-2RKF1000X,90W2947,,Custom Reel,,Tape & Reel,0.0083,0.01104,0.008,0.003,15707,3208483,561872,0,1,1,,1,https://octopart-clicks.com/click/track?country=NZ&ak=ec9249f5&sig=0224db7&sid=5822&ppid=1253760&vpid=187897792&ct=offers,https://octopart-clicks.com/click/track?country=NZ&ak=ec9249f5&sig=0130a6e&sid=459&ppid=1253760&vpid=188059259&ct=offers,https://octopart-clicks.com/click/track?country=NZ&ak=ec9249f5&sig=0c3573b&sid=2401&ppid=1253760&vpid=187838935&ct=offers,https://octopart-clicks.com/click/track?country=NZ&ak=ec9249f5&sig=04bbeae&sid=2402&ppid=1253760&vpid=190851188&ct=offers,Newark,90W2947,Tape & Reel,0.003,0.012,1.2,0,1,https://octopart-clicks.com/click/track?country=NZ&ak=ec9249f5&sig=04bbeae&sid=2402&ppid=1253760&vpid=190851188&ct=offers,
5,ERJ-2RKF5601X,Panasonic,ERJ2RKF5601X,https://octopart.com/erj2rkf5601x-panasonic-11911619, 5K6,,,500,ERJ-2RKF5601X,P5.60KLDKR-ND,ERJ2RKF5601X,90W3063,,Custom Reel,,Tape & Reel,,0.00816,0.008,0.003,10000,155030,11101,0,10000,1,,1,https://octopart-clicks.com/click/track?country=NZ&ak=ec9249f5&sig=018f410&sid=5822&ppid=11911619&vpid=115343886&ct=offers,https://octopart-clicks.com/click/track?country=NZ&ak=ec9249f5&sig=02af38b&sid=459&ppid=11911619&vpid=115259423&ct=offers,https://octopart-clicks.com/click/track?country=NZ&ak=ec9249f5&sig=0fa9a68&sid=2401&ppid=11911619&vpid=115231372&ct=offers,https://octopart-clicks.com/click/track?country=NZ&ak=ec9249f5&sig=00ad04f&sid=2402&ppid=11911619&vpid=115394451&ct=offers,Newark,90W3063,Tape & Reel,0.003,0.015,1.5,0,1,https://octopart-clicks.com/click/track?country=NZ&ak=ec9249f5&sig=00ad04f&sid=2402&ppid=11911619&vpid=115394451&ct=offers,
1,ERJ-2RKF6651X,Panasonic,ERJ-2RKF6651X,https://octopart.com/erj-2rkf6651x-panasonic-1261053, 6K65,,,100,ERJ-2RKF6651X,P6.65KLCT-ND,ERJ-2RKF6651X,51W9221,,Cut Tape,,Tape & Reel,,0.0149,0.01,0.003,0,139870,126126,70000,60000,1,,1,https://octopart-clicks.com/click/track?country=NZ&ak=ec9249f5&sig=0f5a996&sid=5822&ppid=1261053&vpid=196307099&ct=offers,https://octopart-clicks.com/click/track?country=NZ&ak=ec9249f5&sig=09b4ef4&sid=459&ppid=1261053&vpid=188060112&ct=offers,https://octopart-clicks.com/click/track?country=NZ&ak=ec9249f5&sig=06e66fe&sid=2401&ppid=1261053&vpid=187839471&ct=offers,https://octopart-clicks.com/click/track?country=NZ&ak=ec9249f5&sig=06deff0&sid=2402&ppid=1261053&vpid=191369945&ct=offers,Newark,51W9221,Tape & Reel,0.003,0.003,0.3,70000,1,https://octopart-clicks.com/click/track?country=NZ&ak=ec9249f5&sig=06deff0&sid=2402&ppid=1261053&vpid=191369945&ct=offers,
1,ERJ-2RKF1002X,Panasonic,ERJ-2RKF1002X,https://octopart.com/erj-2rkf1002x-panasonic-1237889, 10K,,,100,ERJ-2RKF1002X,P10.0KLDKR-ND,ERJ-2RKF1002X,90W2949,,Custom Reel,,Tape & Reel,,0.0149,0.008,0.003,500000,7307853,799830,270000,10000,1,,1,https://octopart-clicks.com/click/track?country=NZ&ak=ec9249f5&sig=0a681ff&sid=5822&ppid=1237889&vpid=187897799&ct=offers,https://octopart-clicks.com/click/track?country=NZ&ak=ec9249f5&sig=0e962e7&sid=459&ppid=1237889&vpid=188059265&ct=offers,https://octopart-clicks.com/click/track?country=NZ&ak=ec9249f5&sig=0f3dd50&sid=2401&ppid=1237889&vpid=187838939&ct=offers,https://octopart-clicks.com/click/track?country=NZ&ak=ec9249f5&sig=024d347&sid=2402&ppid=1237889&vpid=190851192&ct=offers,Newark,90W2949,Tape & Reel,0.003,0.003,0.3,270000,1,https://octopart-clicks.com/click/track?country=NZ&ak=ec9249f5&sig=024d347&sid=2402&ppid=1237889&vpid=190851192&ct=offers,
2,ERJ-3GEY0R00V,Panasonic,ERJ-3GEY0R00V,https://octopart.com/erj-3gey0r00v-panasonic-1237083, 0R,,,200,ERJ-3GEY0R00V,P0.0GDKR-ND,ERJ-3GEY0R00V,97W7591,,Custom Reel,,Tape & Reel,,0.0096,0.008,0.003,1320000,4378278,1428325,210000,5000,1,,1,https://octopart-clicks.com/click/track?country=NZ&ak=ec9249f5&sig=06881f3&sid=5822&ppid=1237083&vpid=187898065&ct=offers,https://octopart-clicks.com/click/track?country=NZ&ak=ec9249f5&sig=08efe7f&sid=459&ppid=1237083&vpid=188062071&ct=offers,https://octopart-clicks.com/click/track?country=NZ&ak=ec9249f5&sig=09eafe6&sid=2401&ppid=1237083&vpid=187840237&ct=offers,https://octopart-clicks.com/click/track?country=NZ&ak=ec9249f5&sig=06e5c3f&sid=2402&ppid=1237083&vpid=190851752&ct=offers,Newark,97W7591,Tape & Reel,0.003,0.006,0.6,210000,1,https://octopart-clicks.com/click/track?country=NZ&ak=ec9249f5&sig=06e5c3f&sid=2402&ppid=1237083&vpid=190851752&ct=offers,
2,CAY16-101J8LF,Bourns,CAY16-101J8LF,https://octopart.com/cay16-101j8lf-bourns-2401389, 100R,,,200,CAY16-101J8LF,CAY16-101J8LF-ND,CAY16-101J8LF,,,Tape & Reel,,,,,0.096,,0,0,4142,,10000,10000,,,https://octopart-clicks.com/click/track?country=NZ&ak=ec9249f5&sig=02531d8&sid=5822&ppid=2401389&vpid=28044837&ct=offers,https://octopart-clicks.com/click/track?country=NZ&ak=ec9249f5&sig=0b4c70f&sid=459&ppid=2401389&vpid=36557998&ct=offers,https://octopart-clicks.com/click/track?country=NZ&ak=ec9249f5&sig=0e2289a&sid=2401&ppid=2401389&vpid=88015698&ct=offers,,Mouser,CAY16-101J8LF,,0.096,0.192,19.2,4142,,https://octopart-clicks.com/click/track?country=NZ&ak=ec9249f5&sig=0e2289a&sid=2401&ppid=2401389&vpid=88015698&ct=offers,
